species,Lat,Lon
Oncosiphon pilulifer,-33.442483000000003,25.746538000000001
Oncosiphon pilulifer,-33.333317000000001,24.748123000000000
Oncosiphon pilulifer,-33.667963000000000,25.719415000000001
Oncosiphon pilulifer,-33.073067000000002,27.714272000000001
Oncosiphon pilulifer,-33.167574999999999,24.467279999999999
Oncosiphon pilulifer,-33.694597000000002,25.796752000000001
Oncosiphon pilulifer,-31.939820999999998,25.195981000000000
Oncosiphon pilulifer,-33.723508000000002,23.477599000000001
Oncosiphon pilulifer,-33.603568000000003,25.810305000000000
Oncosiphon pilulifer,-33.803370999999999,20.094213000000000
Oncosiphon pilulifer,-33.781261000000001,21.375070000000001
Oncosiphon pilulifer,-28.741944000000000,24.771944000000001
Oncosiphon pilulifer,-31.470555999999998,25.018889000000001
Oncosiphon pilulifer,-28.858775999999999,17.335229999999999
Oncosiphon pilulifer,-34.831547999999998,19.999642000000001
Oncosiphon pilulifer,-33.912793000000001,19.886566999999999
Oncosiphon pilulifer,-33.535975999999998,23.725731000000000
Oncosiphon pilulifer,-33.512062999999998,25.753188999999999
Oncosiphon pilulifer,-31.470555999999998,25.018889000000001
Oncosiphon pilulifer,-33.311038000000003,18.740829999999999
Oncosiphon pilulifer,-33.598438000000002,22.102063999999999
Oncosiphon pilulifer,-33.135981999999998,21.203949999999999
Oncosiphon pilulifer,-31.899453999999999,24.548552999999998
Oncosiphon pilulifer,-34.317687999999997,21.355979999999999
Oncosiphon pilulifer,-33.719050000000003,22.835249999999998
Oncosiphon pilulifer,-29.600890000000000,17.178338000000000
Oncosiphon pilulifer,-33.667430000000003,23.099430000000002
Oncosiphon pilulifer,-33.519010000000002,23.912600000000001
Oncosiphon pilulifer,-33.125000000000000,20.625000000000000
Oncosiphon pilulifer,-32.037500000000001,20.164444000000000
Oncosiphon pilulifer,-32.625000000000000,19.625000000000000
Oncosiphon pilulifer,-31.375000000000000,19.875000000000000
Oncosiphon pilulifer,-33.125000000000000,26.625000000000000
